Id,id_tanggal_transaksi_awal,tanggal_transaksi_awal,tipe_kartu,id_merchant,nama_merchant,tipe_mesin,tipe_transaksi,nama_transaksi,nilai_transaksi,id_negara,nama_negara,nama_kota,lokasi_mesin,pemilik_mesin,waktu_transaksi,kuartal_transaksi,kepemilikan_kartu,nama_channel,id_channel,flag_transaksi_finansial,status_transaksi,bank_pemilik_kartu,rata_rata_nilai_transaksi,maksimum_nilai_transaksi,minimum_nilai_transaksi,rata_rata_jumlah_transaksi
14312,2457347,2457405,103,-2,1798,2351274,385,11,1000000,96,5,75,3523,613,124322,3,2,1,9,FALSE,3,999,1.311.742.105,15000000,300000,3.23
1083,2457512,2457539,111,-2,1798,2422984,301,16,1375000,96,5,128,3857,613,175106,3,2,1,9,FALSE,3,999,8.556.872.093,3300000,31500,2.35
2924,2457304,2457355,103,-2,1798,2435829,26,10,300000,96,5,265,4006,613,121823,3,2,1,9,FALSE,3,999,3.944.533.333,1550000,36928,1.59
8239,2457377,2457446,111,-2,1798,-4,156,7,49000,96,5,8,29,614,61138,2,1,4,3,FALSE,3,999,9.702.161.282,5000000,50000,1.94
7144,2457496,2457584,4,-2,1798,1581539,26,10,1250000,96,5,128,1923,613,95849,2,2,1,9,FALSE,3,999,885.580.321,2000000,50000,1.5
14002,2457324,2457419,103,-2,1798,118233,301,16,4500000,96,5,60,5182,613,202625,4,2,1,9,FALSE,3,999,2.558.485.956,20000000,237000,2.32
12419,2457380,2457436,104,-2,1798,2830151,238,9,350000,96,5,265,7853,613,101752,2,2,1,9,FALSE,3,999,1.576.504.367,15000000,50000,2.13
3835,2457444,2457535,93,-2,1798,2100729,238,9,2900000,96,5,265,5549,613,205428,4,2,1,9,FALSE,3,999,9.378.663.617,3900000,50000,2.22
10677,2457473,2457511,111,-2,1798,81486,385,11,500000,96,5,128,3772,613,90804,2,2,1,9,FALSE,3,999,1.225.950.822,410000,50000,2.28
3093,2457322,2457352,111,-2,1798,2784619,238,9,1100000,96,5,128,5631,613,94829,2,2,1,9,FALSE,3,999,1.985.373.228,20000000,50000,2.12
1039,2457561,2457607,93,-2,1798,-3,156,12,100000,96,5,128,1360,1637,124122,3,1,5,8,FALSE,3,999,NA,NA,NA,NA
9990,2457649,2457656,111,302896,1227,1868008,58,6,74712,96,5,273,5865,1827,184827,4,2,2,4,FALSE,3,999,4.260.222.031,2000000,32064,1.44
8310,2457385,2457473,103,-2,1798,329180,147,3,500000,96,5,128,4844,613,125615,3,2,1,9,FALSE,3,999,3.506.629.556,2800000,10000,1.53
1459,2457660,2457699,111,-2,1798,2100299,385,11,600000,96,5,241,2800,613,133903,3,2,1,9,FALSE,3,999,6.347.891.429,2500000,21000,1.63
11586,2457550,2457592,93,-2,1798,2713939,385,11,2500000,96,5,293,8490,613,84640,2,2,1,9,FALSE,3,999,7.705.518.421,2500000,168000,1.43
1522,2457313,2457391,93,-2,1798,2421258,26,10,50000,96,5,203,3620,613,214350,4,2,1,9,FALSE,3,999,1.005.666.711,28000000,40000,10.59
6373,2457661,2457754,93,702705,273,3359848,58,6,270000,96,5,150,6231,611,211432,4,2,2,4,FALSE,3,999,10330052.63,98000000,50000,3.32
3287,2457353,2457443,111,-2,1798,368950,385,11,1250000,96,5,60,4842,613,145946,3,2,1,9,FALSE,3,999,1.767.623.971,6646442,100000,1.68
12283,2457323,2457328,103,-2,1798,1324,26,10,689252,96,5,128,1750,613,54942,1,2,1,9,FALSE,3,999,1.155.063.158,7596000,10118,2.2
7926,2457599,2457645,111,-2,1798,73225,385,11,2500000,96,5,60,3572,613,91445,2,2,1,9,FALSE,3,999,1.190.239.781,15000000,70700,2.27
2093,2457573,2457588,104,-2,1798,1285717,385,11,300000,96,5,265,746,613,191130,4,2,1,9,FALSE,3,999,3.979.768.421,1688000,50000,1.14
13351,2457519,2457519,5,-2,1798,501909,640,8,102500,96,5,265,5261,613,182930,4,2,1,9,FALSE,3,999,4.591.480.984,2700000,25000,1.72
3956,2457622,2457701,111,411148,438,2746082,58,6,119000,96,5,128,6561,839,132841,3,2,2,4,FALSE,3,999,7.184.237.238,2987000,56200,1.36
9131,2457604,2457632,111,-2,1798,331455,385,11,350000,96,5,101,4673,613,201728,4,2,1,9,FALSE,3,999,1.679.777.627,6000000,50,2.74
10924,2457357,2457411,93,-2,1798,1951,301,16,304533,96,5,128,846,613,202506,4,2,1,9,FALSE,3,999,3.925.545.979,4500000,18500,2.98
11578,2457364,2457396,0,-2,1798,1406175,26,10,200000,96,5,128,1172,613,221726,4,2,1,9,FALSE,3,999,6.013.947.368,1250000,200000,1.14
1209,2457621,2457672,93,-2,1798,158877,26,10,200000,96,5,265,3979,613,73053,2,2,1,9,FALSE,3,999,1.252.008.475,6000000,100000,1.64
14314,2457406,2457448,111,-2,1798,2542388,301,16,1500000,96,5,128,8359,613,214139,4,2,1,9,FALSE,3,999,4.014.156.863,1883635,10000,1.52
10240,2457410,2457500,4,-2,1798,701282,385,11,2500000,96,5,128,5079,613,22127,1,2,1,9,FALSE,3,999,2.373.577.407,20000000,158650,1.5
5206,2457517,2457566,93,-2,1798,2176668,238,9,2950000,96,5,251,7892,613,94142,2,2,1,9,FALSE,3,999,5.532.031.381,57127000,11500,5.83
14083,2457476,2457508,2,636536,1510,2013725,58,6,9350000,96,5,259,7656,2231,82154,2,2,2,4,FALSE,3,999,9.065.364.629,100000000,41804,2.32
12717,2457444,2457503,93,-2,1798,2086341,385,11,2500000,96,5,265,3086,613,65437,2,2,1,9,FALSE,3,999,1.667.486.667,20000000,48500,4.15
14389,2457615,2457647,111,-2,1798,1334108,148,5,26500,96,5,251,791,613,104925,2,2,1,9,FALSE,3,999,8.933.126.061,2500000,7000,2.78
13748,2457376,2457436,111,-2,1798,16834,26,10,1250000,96,5,128,884,613,225614,4,2,1,9,FALSE,3,999,1.080.313.025,6200000,100000,2
10868,2457316,2457367,93,374848,1797,1616191,58,6,421212,96,5,265,5961,2616,193233,4,2,2,4,FALSE,3,999,3.194.832.375,33980000,32600,1.38
1255,2457572,2457638,111,-2,1798,2003763,238,9,1700000,96,5,70,5558,613,103511,2,2,1,9,FALSE,3,999,3.961.718.924,50000000,50000,1.44
11003,2457510,2457572,103,-2,1798,2341302,385,11,200000,96,5,203,3451,613,221356,4,2,1,9,FALSE,3,999,4.181.695.652,1000000,94500,2.4
4941,2457568,2457613,111,2981,1080,2101953,58,6,150000,96,5,128,5933,1687,93050,2,2,2,4,FALSE,3,999,1.505.702.752,20880000,50000,2.83
5186,2457322,2457407,111,-2,1798,1914879,238,9,1100000,96,5,293,5529,613,164751,3,2,1,9,FALSE,3,999,1.693.825.123,9420000,100000,1.29
5924,2457497,2457580,111,-2,1798,2810552,385,11,250000,96,5,128,4385,613,174335,3,2,1,9,FALSE,3,999,8.933.126.061,2000000,140000,2.18
10391,2457368,2457435,111,-2,1798,2619712,238,9,1500000,96,5,96,5486,613,90959,2,2,1,9,FALSE,3,999,3.966.602.069,2535000,10000,1.64
936,2457599,2457669,104,-2,1798,2802213,159,19,33000,96,5,128,7883,613,113316,2,2,1,9,FALSE,3,999,584375,2500000,15000,2.56
4798,2457349,2457377,111,-2,1798,226362,238,9,200000,96,5,128,5363,613,203700,4,2,1,9,FALSE,3,999,2.248.279.221,50000000,25000,4.47
1503,2457558,2457638,93,-2,1798,-3,156,12,1000000,96,5,128,8697,503,43353,1,1,5,8,FALSE,3,999,3620434.23,20000000,83000,3.94
13369,2457376,2457394,111,-2,1798,1749280,26,10,300000,96,5,75,2087,613,85543,2,2,1,9,FALSE,3,999,7.939.664.571,8831000,10000,2.49
13976,2457509,2457598,93,319233,219,1859928,58,6,2184700,96,5,101,7157,534,153856,3,2,2,4,FALSE,3,999,5.532.031.381,75000000,26500,2.4
9726,2457358,2457394,111,-2,1798,-3,156,12,200000,96,5,1,1639,1389,110228,2,1,5,8,FALSE,3,999,3.646.530.769,3710000,22000,3.76
97,2457603,2457684,111,-2,1798,1366841,385,11,500000,96,5,273,964,613,105721,2,2,1,9,FALSE,3,999,1.028.473.077,2500000,50000,3
8633,2457437,2457520,93,-2,1798,2849097,26,10,400000,96,5,256,4432,613,85445,2,2,1,9,FALSE,3,999,4.065.387.097,2500000,50000,1.33
419,2457601,2457636,103,-2,1798,1446238,26,10,800000,96,5,128,1305,613,2836,1,2,1,9,FALSE,3,999,1.021.590.909,2500000,98000,2.12
2420,2457430,2457465,93,-2,1798,2550686,26,10,1250000,96,5,128,4064,613,130428,3,2,1,9,FALSE,3,999,1.030.897.322,96486000,8099,2.8
8629,2457473,2457565,111,32753,492,2641499,58,6,47900,96,5,128,6479,890,151428,3,2,2,4,FALSE,3,999,9.184.549.247,14900000,50000,1.5
4302,2457355,2457428,103,-2,1798,2432621,26,10,100000,96,5,128,3839,613,192028,4,2,1,9,FALSE,3,999,4.215.480.513,6000000,30500,2.22
12146,2457610,2457703,103,-2,1798,3391188,385,11,2500000,96,5,128,4609,613,135237,3,2,1,9,FALSE,3,999,1815000,25000000,20000,02.02
10468,2457407,2457456,111,-2,1798,1584529,159,19,300000,96,5,265,1823,613,202205,4,2,1,9,FALSE,3,999,3.693.192.308,1000000,50000,1.89
9644,2457396,2457425,104,-2,1798,1522465,385,11,2500000,96,5,187,1534,613,151843,3,2,1,9,FALSE,3,999,1.129.908.041,2500000,100000,2
5983,2457584,2457616,111,-2,1798,1486952,26,10,2500000,96,5,128,1564,613,95739,2,2,1,9,FALSE,3,999,1651875,5000000,24200,2.79
4128,2457469,2457534,111,-2,1798,2178475,238,9,3150000,96,5,128,7889,613,84454,2,2,1,9,FALSE,3,999,1.121.962.467,25000000,21800,2.39
12514,2457558,2457613,93,-2,1798,1914884,26,10,300000,96,5,128,2549,613,102751,2,2,1,9,FALSE,3,999,3.743.726.944,75000000,25000,2.45
12709,2457311,2457318,103,161601,899,2100087,58,6,1340900,96,5,128,6977,1381,30525,1,2,2,4,FALSE,3,999,9.209.037.361,5000000,25000,2.6
5914,2457555,2457585,0,-2,1798,1558573,238,9,5000000,96,5,65,5446,613,153838,3,2,1,9,FALSE,3,999,1.303.347.429,10000000,50000,2.11
10043,2457598,2457605,111,-2,1798,2632326,238,9,1000000,96,5,128,8039,613,160438,3,2,1,9,FALSE,3,999,2.820.267.376,39675000,50000,4.15
8423,2457438,2457529,0,-2,1798,2334641,385,11,1000000,96,5,128,3412,613,84534,2,2,1,9,FALSE,3,999,8.080.813.176,3800000,25000,1.76
10400,2457522,2457549,103,413041,195,2809719,58,6,62700,96,5,189,6714,494,143938,3,2,2,4,FALSE,3,999,3.801.358.268,2000000,35400,1
13447,2457303,2457310,111,35959,869,1853810,58,6,24700,96,5,70,5843,1442,151251,3,2,2,4,FALSE,3,999,5.282.590.164,2500000,25000,1.83
3997,2457559,2457653,0,-2,1798,-3,156,12,500000,96,5,8,86,33,160555,3,1,5,8,FALSE,3,999,5.895.833.333,2100000,50000,1.41
2672,2457460,2457543,111,-2,1798,1939,385,11,1250000,96,5,128,878,613,174041,3,2,1,9,FALSE,3,999,1.265.595.901,7499715,36000,2.26
3051,2457389,2457467,93,-2,1798,329209,147,3,2555227,96,5,96,4844,613,155948,3,2,1,9,FALSE,3,999,5.351.677.425,75000000,15000,4.22
10121,2457367,2457450,93,-2,1798,2228574,385,11,2500000,96,5,62,7889,613,73820,2,2,1,9,FALSE,3,999,1534523.81,11300000,32740,1.77
2686,2457575,2457627,103,-2,1798,-3,156,12,1000000,96,5,93,5728,2517,235738,4,1,5,8,FALSE,3,999,1.569.376.744,4900000,100000,2.23
14365,2457508,2457568,93,-2,1798,2820829,159,19,2376000,96,5,101,4355,613,171245,3,2,1,9,FALSE,3,999,3.225.250.909,50000000,51500,2.83
7580,2457611,2457702,104,-2,1798,1386782,26,10,200000,96,5,70,1126,613,140605,3,2,1,9,FALSE,3,999,4.497.934.098,2500000,31500,1.46
8434,2457384,2457452,111,-2,1798,2515620,238,9,700000,96,5,152,8314,613,74246,2,2,1,9,FALSE,3,999,9.784.007.957,11530000,41850,2.17
3865,2457640,2457669,93,-2,1798,1903152,159,19,1245085,96,5,60,2502,613,101831,2,2,1,9,FALSE,3,999,6.746.217.581,4480000,25600,1.68
9827,2457318,2457361,1,29909,215,2216038,58,6,175000,96,5,70,6057,523,143834,3,2,2,4,FALSE,3,999,4.350.342.676,4900000,25000,1.55
11685,2457429,2457484,1,-2,1798,1919586,26,10,1250000,96,5,128,2555,613,162124,3,2,1,9,FALSE,3,999,1.176.460.027,5050500,30000,02.04
7370,2457401,2457473,111,-2,1798,2809311,238,9,1500000,96,5,101,7898,613,120103,3,2,1,9,FALSE,3,999,1228386.12,69750000,26500,2.74
6731,2457430,2457488,103,-2,1798,1887127,26,10,100000,96,5,102,2461,613,173226,3,2,1,9,FALSE,3,999,9.536.534.091,500000,22500,2.1
6227,2457329,2457390,103,209077,426,1196815,58,6,88501,96,5,128,7627,807,215326,4,2,2,4,FALSE,3,999,6.404.583.333,5000000,25000,2.93
13187,2457475,2457527,103,-2,1798,1867653,385,11,500000,96,5,185,2288,613,193456,4,2,1,9,FALSE,3,999,9.895.309.524,8100000,27700,2.14
1995,2457555,2457598,104,-2,1798,67366,147,3,50000,96,5,128,2600,613,111348,2,2,1,9,FALSE,3,999,8.693.181.818,2500000,44517,1.84
6822,2457550,2457568,111,-2,1798,-3,156,12,400000,96,5,101,5701,1862,192415,4,1,5,8,FALSE,3,999,9.088.453.373,5000000,100000,1.64
11273,2457363,2457450,111,-2,1798,2092914,26,10,1250000,96,5,128,2931,613,81754,2,2,1,9,FALSE,3,999,1.388.235.294,4000000,50000,3.8
5315,2457648,2457665,93,90653,269,2617956,58,6,518000,96,5,56,6512,620,104326,2,2,2,4,FALSE,3,999,8.704.203.333,9657700,15800,2.95
4407,2457394,2457414,93,-2,1798,1589295,301,16,4525000,96,5,128,1951,613,140913,3,2,1,9,FALSE,3,999,1.151.101.297,10000000,25000,2.59
4265,2457640,2457685,103,659907,1205,3103757,58,6,99900,96,5,128,7503,1811,213408,4,2,2,4,FALSE,3,999,8.184.210.526,4700000,56200,1.76
12003,2457423,2457461,5,-2,1798,-3,156,12,1200000,96,5,189,5667,2173,162124,3,1,5,8,FALSE,3,999,7.685.081.351,5500000,25000,2.62
11096,2457421,2457442,103,-2,1798,222361,26,10,1000000,96,5,128,4305,613,200922,4,2,1,9,FALSE,3,999,612500,1250000,20000,1.18
3038,2457414,2457439,103,-2,1798,508193,385,11,100000,96,5,75,4972,613,105351,2,2,1,9,FALSE,3,999,1.787.168.514,30000000,100000,3.16
92,2457524,2457573,111,-2,1798,3130487,301,16,900000,96,5,237,8257,613,113233,2,2,1,9,FALSE,3,999,9.150.706.679,4500000,50000,1.89
222,2457630,2457709,111,-2,1798,2324746,161,17,1750000,96,5,60,3552,613,130752,3,2,1,9,FALSE,3,999,6.533.704.028,2750000,45000,1.55
11938,2457433,2457472,0,-2,1798,515,159,19,8000000,96,5,128,2565,613,133807,3,2,1,9,FALSE,3,999,3.061.870.504,20000000,25000,2.62
704,2457512,2457570,104,-2,1798,3031391,385,11,1000000,96,5,128,8154,613,123700,3,2,1,9,FALSE,3,999,548.845.625,1150000,21329,1.8
3501,2457411,2457449,93,-2,1798,2419358,26,10,1250000,96,5,128,3614,613,151640,3,2,1,9,FALSE,3,999,1.570.651.563,10000000,100000,2.41
10593,2457376,2457466,111,-2,1798,2139928,26,10,500000,96,5,128,3234,613,120651,3,2,1,9,FALSE,3,999,8.556.872.093,7000000,30000,2.19
12963,2457623,2457688,0,70193,927,2955586,58,6,23500,96,5,128,7459,1441,144330,3,2,2,4,FALSE,3,999,8.536.515.476,7000000,25000,2.9
12296,2457438,2457473,111,110928,1683,2383884,58,6,112000,96,5,132,6753,2475,142133,3,2,2,4,FALSE,3,999,1.766.855.283,1100000,22000,1.91
8017,2457531,2457590,111,-2,1798,-3,156,12,2500000,96,5,128,7758,1384,170209,3,1,5,8,FALSE,3,999,2206750,15000000,147000,1.73
1954,2457523,2457610,93,-2,1798,80915,26,10,700000,96,5,128,3773,613,102918,2,2,1,9,FALSE,3,999,1.171.452.701,7500000,26500,1.92
7358,2457502,2457502,1,-2,1798,2318264,385,11,100000,96,5,223,3424,613,12450,1,2,1,9,FALSE,3,999,3.478.229.394,2000000,12000,1.87
14939,2457302,2457328,0,502497,1570,2373555,58,6,201000,96,5,128,6881,2306,190839,4,2,2,4,FALSE,3,999,8.509.412.621,4400000,44517,2.38
928,2457350,2457370,111,-2,1798,226362,238,9,50000,96,5,128,5379,613,210138,4,2,1,9,FALSE,3,999,1.505.702.752,15000000,25000,2
3819,2457299,2457319,2,-2,1798,1329222,159,19,470000,96,5,60,820,613,122251,3,2,1,9,FALSE,3,999,1.243.739.824,50000000,25000,2.47
9050,2457645,2457675,93,-2,1798,1265392,159,19,4000000,96,5,259,676,613,140938,3,2,1,9,FALSE,3,999,2.304.545.455,10000000,41660,03.08
5200,2457569,2457597,111,-2,1798,1457808,301,16,1000000,96,5,265,1489,613,90339,2,2,1,9,FALSE,3,999,1.286.198.547,10580000,50000,3.22
4807,2457575,2457618,111,-2,1798,3186048,385,11,2500000,96,5,128,7934,613,211135,4,2,1,9,FALSE,3,999,1.542.634.722,14280000,22500,2.91
4055,2457441,2457477,104,-2,1798,2714809,26,10,250000,96,5,259,8501,613,102827,2,2,1,9,FALSE,3,999,5.367.924.528,6100000,26500,02.06
1715,2457510,2457598,0,210185,660,3071459,58,6,341400,96,5,128,7344,1094,112852,2,2,2,4,FALSE,3,999,1.906.500.922,15000000,29234,2.41
12423,2457430,2457524,111,-2,1798,2008048,385,11,500000,96,5,128,2783,613,60113,2,2,1,9,FALSE,3,999,3.161.657.232,1600000,50000,1.43
6198,2457371,2457457,4,32402,1429,2073811,58,6,72800,96,5,128,5825,2105,221323,4,2,2,4,FALSE,3,999,2.524.719.828,1500000,20250,1.76
3845,2457507,2457553,111,-2,1798,2184058,26,10,300000,96,5,241,3052,613,182049,4,2,1,9,FALSE,3,999,9.512.093.806,7000000,22000,02.07
12646,2457376,2457432,111,-2,1798,3063474,238,9,2500000,96,5,128,8217,613,161641,3,2,1,9,FALSE,3,999,1.190.239.781,10000000,25000,02.08
10804,2457581,2457659,111,-2,1798,3186057,238,9,2500000,96,5,241,8685,613,204110,4,2,1,9,FALSE,3,999,8.368.409.606,5100000,25000,1.81
1798,2457419,2457509,111,-2,1798,1154047,159,19,700000,96,5,128,456,613,172743,3,2,1,9,FALSE,3,999,9.738.044.808,4900000,58000,1.43
6715,2457437,2457526,104,-2,1798,1518190,385,11,1250000,96,5,265,1622,613,84325,2,2,1,9,FALSE,3,999,3.232.432.432,2450000,10,4.99
1339,2457662,2457740,93,-2,1798,2432941,238,9,550000,96,5,221,5574,613,231207,4,2,1,9,FALSE,3,999,1.475.859.567,30575000,25000,2.28
13310,2457519,2457547,93,-2,1798,222352,26,10,300000,96,5,128,4151,613,101940,2,2,1,9,FALSE,3,999,1.534.142.009,11869000,100000,1.37
11191,2457567,2457599,111,-2,1798,2460694,159,19,23660000,96,5,265,2850,613,122400,3,2,1,9,FALSE,3,999,2.530.285.326,10000000,26500,2.38
4852,2457460,2457509,104,-2,1798,1415742,385,11,1250000,96,5,128,1228,613,93429,2,2,1,9,FALSE,3,999,8.387.955.882,5000000,44517,1.8
11382,2457607,2457682,111,-2,1798,2501653,385,11,1250000,96,5,132,4025,613,185916,4,2,1,9,FALSE,3,999,2.530.285.326,50000000,100000,2.62
4280,2457595,2457607,111,-2,1798,1464904,385,11,300000,96,5,241,1285,613,195706,4,2,1,9,FALSE,3,999,2.518.235.294,1000000,50000,1.14
8787,2457368,2457424,103,-2,1798,2796165,26,10,532500,96,5,128,4295,613,102613,2,2,1,9,FALSE,3,999,797.473.227,2500000,10000,1.5
14317,2457351,2457353,111,488804,330,2177475,433,14,100000,96,5,128,5999,699,193717,4,2,2,4,FALSE,3,999,466050,5000000,92000,1.5
575,2457556,2457644,111,-2,1798,1942707,385,11,500000,96,5,70,2658,613,115557,2,2,1,9,FALSE,3,999,375000,1500000,43500,1.78
14371,2457592,2457648,93,-2,1798,760832,26,10,2500000,96,5,128,5089,613,131409,3,2,1,9,FALSE,3,999,2.596.666.667,28555000,140000,03.08
8344,2457546,2457624,4,-2,1798,1937777,238,9,100000,96,5,128,5523,613,100155,2,2,1,9,FALSE,3,999,4.674.038.462,2500000,36400,1.62
8996,2457329,2457336,111,-2,1798,61,385,11,1000000,96,5,128,3261,613,154444,3,2,1,9,FALSE,3,999,1.157.710.068,5000000,100000,2.33
14986,2457385,2457453,0,-2,1798,1862787,26,10,400000,96,5,128,2379,613,195557,4,2,1,9,FALSE,3,999,9.463.966.139,9000000,25000,2.71
5629,2457448,2457505,0,-2,1798,1224699,159,19,100000,96,5,241,5075,613,80532,2,2,1,9,FALSE,3,999,5.039.007.619,2000000,105000,1.32
7732,2457394,2457470,111,187485,103,2383887,58,6,100800,96,5,75,6852,393,191156,4,2,2,4,FALSE,3,999,719.703.881,2500000,80000,1.78
5231,2457351,2457379,0,-2,1798,84169,301,16,300000,96,5,70,3105,613,84143,2,2,1,9,FALSE,3,999,2.271.330.484,1500000,27000,2.34
14534,2457386,2457437,111,-2,1798,1597924,159,19,1000000,96,5,128,1904,613,90727,2,2,1,9,FALSE,3,999,2.257.807.692,12847600,25000,3.39
9098,2457509,2457570,111,-2,1798,1298875,26,10,300000,96,5,128,748,613,171546,3,2,1,9,FALSE,3,999,2.886.046.497,1500000,23900,1.69
6586,2457603,2457662,103,-2,1798,3042284,238,9,350000,96,5,128,8194,613,132242,3,2,1,9,FALSE,3,999,1535705,15000000,50000,2.45
6434,2457326,2457416,103,-2,1798,-3,156,12,2050000,96,5,288,1270,1396,194520,4,1,5,8,FALSE,3,999,1.808.152.683,27000000,100000,2.32
